ASIN,reviews_verified,reviews_unverified,avg_review,avg_review_verified,avg_review_unverified
B06Y5LXM9T,71,9,4.794520547945205,4.873239436619718,4.555555555555555
B073SCXP26,29,2,4.929203539823009,4.931034482758621,5.0
B074F388BG,29,1,4.928571428571429,4.620689655172414,5.0
B06XDJP2WX,96,17,4.8375,4.916666666666667,5.0
B075KNSDR7,10,1,4.935483870967742,4.6,5.0
B06XXKQP32,35,7,4.633333333333334,4.942857142857143,4.857142857142857
B06WGKYSPD,61,12,4.636363636363637,4.80327868852459,4.75
